timestamp,open,high,low,close,volume
2021-04-26,9.7900,9.8600,9.7800,9.8000,86093
2021-04-23,9.8000,9.8100,9.7900,9.8100,195329
2021-04-22,9.7800,9.8200,9.7800,9.8000,69177
2021-04-21,9.8000,9.8100,9.7700,9.8000,342758
2021-04-20,10.0000,10.0000,9.7400,9.8100,165071
2021-04-19,9.8500,9.8650,9.8000,9.8400,438115
2021-04-16,9.9100,9.9100,9.8300,9.8300,29238
2021-04-15,9.9000,9.9200,9.8200,9.8700,251428
2021-04-14,9.9100,9.9300,9.8900,9.9000,458407
2021-04-13,9.9900,9.9900,9.9000,9.9100,126628
2021-04-12,9.8800,9.9500,9.8800,9.9500,20180
2021-04-09,9.8659,9.8888,9.8400,9.8752,18355
2021-04-08,9.8300,9.9200,9.8100,9.8900,59825
2021-04-07,9.8700,9.8700,9.7700,9.8600,250154
2021-04-06,9.8600,9.8700,9.8000,9.8500,242863
2021-04-05,9.8200,10.0000,9.8100,10.0000,208086
2021-04-01,9.9800,9.9800,9.7400,9.7700,151921
2021-03-31,9.7500,9.9000,9.7500,9.9000,78556
2021-03-30,9.8000,9.8500,9.8000,9.8300,52270
2021-03-29,9.7000,9.9022,9.5000,9.7800,53558
2021-03-26,9.8500,9.9600,9.7500,9.9600,158306
2021-03-25,9.9500,9.9500,9.5200,9.8700,117127
